62.8641 	DATA 	Keypress: right
62.8775 	EXP 	fixation: autoDraw = False
62.8775 	EXP 	grating: autoDraw = True
63.1308 	DATA 	Keypress: down
63.1770 	EXP 	grating: autoDraw = False
63.3643 	DATA 	Keypress: down
63.5804 	DATA 	Keypress: down
63.8132 	DATA 	Keypress: down
64.0801 	DATA 	Keypress: down
64.3969 	DATA 	Keypress: down
64.7645 	DATA 	Keypress: up
64.9972 	DATA 	Keypress: up
65.2988 	DATA 	Keypress: left
65.3102 	EXP 	fixation: autoDraw = False
65.3102 	EXP 	grating: autoDraw = False
65.3102 	EXP 	grating: ori = 10.0
65.3102 	EXP 	fixation: autoDraw = True
65.8100 	EXP 	fixation: autoDraw = False
65.8100 	EXP 	grating: autoDraw = True
66.1099 	EXP 	grating: autoDraw = False
66.8659 	DATA 	Keypress: right
66.8768 	EXP 	fixation: autoDraw = False
66.8768 	EXP 	grating: autoDraw = False
66.8768 	EXP 	grating: ori = 10.0
66.8768 	EXP 	fixation: autoDraw = True
67.3772 	EXP 	fixation: autoDraw = False
67.3772 	EXP 	grating: autoDraw = True
67.5828 	DATA 	Keypress: right
67.5930 	EXP 	fixation: autoDraw = False
67.5930 	EXP 	grating: autoDraw = False
67.5930 	EXP 	grating: ori = 10.0
67.5930 	EXP 	fixation: autoDraw = True
67.8978 	DATA 	Keypress: right
68.0932 	EXP 	fixation: autoDraw = False
68.0932 	EXP 	grating: autoDraw = True
68.0975 	DATA 	Keypress: right
68.2987 	DATA 	Keypress: right
68.3096 	EXP 	fixation: autoDraw = False
68.3096 	EXP 	grating: autoDraw = False
68.3096 	EXP 	grating: ori = 10.0
68.3096 	EXP 	fixation: autoDraw = True
68.4970 	DATA 	Keypress: right
68.6965 	DATA 	Keypress: right
68.8096 	EXP 	fixation: autoDraw = False
68.8096 	EXP 	grating: autoDraw = True
68.8991 	DATA 	Keypress: right
68.9096 	EXP 	fixation: autoDraw = False
68.9096 	EXP 	grating: autoDraw = False
68.9096 	EXP 	grating: ori = 10.0
68.9096 	EXP 	fixation: autoDraw = True
69.0636 	DATA 	Keypress: right
69.2634 	DATA 	Keypress: right
69.4094 	EXP 	fixation: autoDraw = False
69.4094 	EXP 	grating: autoDraw = True
69.4963 	DATA 	Keypress: right
69.5080 	EXP 	fixation: autoDraw = False
69.5080 	EXP 	grating: autoDraw = False
69.5080 	EXP 	grating: ori = 10.0
69.5080 	EXP 	fixation: autoDraw = True
69.6299 	DATA 	Keypress: right
69.8136 	DATA 	Keypress: right
69.9930 	EXP 	grating: autoDraw = True
70.0093 	EXP 	fixation: autoDraw = False
70.0129 	DATA 	Keypress: right
70.0427 	EXP 	fixation: autoDraw = False
70.0427 	EXP 	grating: autoDraw = False
70.0427 	EXP 	grating: ori = 10.0
70.0427 	EXP 	fixation: autoDraw = True
70.2312 	DATA 	Keypress: right
70.4139 	DATA 	Keypress: right
70.5427 	EXP 	fixation: autoDraw = False
70.5427 	EXP 	grating: autoDraw = True
70.6156 	DATA 	Keypress: right
70.6259 	EXP 	fixation: autoDraw = False
70.6259 	EXP 	grating: autoDraw = False
70.6259 	EXP 	grating: ori = 10.0
70.6259 	EXP 	fixation: autoDraw = True
70.8129 	DATA 	Keypress: right
71.0297 	DATA 	Keypress: right
71.1258 	EXP 	fixation: autoDraw = False
71.1258 	EXP 	grating: autoDraw = True
71.2148 	DATA 	Keypress: right
71.2257 	EXP 	fixation: autoDraw = False
71.2257 	EXP 	grating: autoDraw = False
71.2257 	EXP 	grating: ori = 10.0
71.2257 	EXP 	fixation: autoDraw = True
71.4129 	DATA 	Keypress: right
71.7257 	EXP 	fixation: autoDraw = False
71.7257 	EXP 	grating: autoDraw = True
72.0255 	EXP 	grating: autoDraw = False
73.6480 	DATA 	Keypress: left
73.6586 	EXP 	fixation: autoDraw = False
73.6586 	EXP 	grating: autoDraw = False
73.6586 	EXP 	grating: ori = 10.0
73.6586 	EXP 	fixation: autoDraw = True
74.1589 	EXP 	fixation: autoDraw = False
74.1589 	EXP 	grating: autoDraw = True
74.4586 	EXP 	grating: autoDraw = False
83.3459 	DATA 	Keypress: left
83.3569 	EXP 	fixation: autoDraw = False
83.3569 	EXP 	grating: autoDraw = False
83.3569 	EXP 	grating: ori = 10.0
83.3569 	EXP 	fixation: autoDraw = True
83.8569 	EXP 	fixation: autoDraw = False
83.8569 	EXP 	grating: autoDraw = True
